Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-09 17:58:48;"Petto Bicipiti";"Bench Press (Barbell)";1;40;kg;20;;;;0;"";"Allenamento pettorali, bicipiti e addominali";2m
2022-03-09 17:58:48;"Petto Bicipiti";"Bench Press (Barbell)";2;50;kg;12;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Bench Press (Barbell)";3;55;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Bench Press (Barbell)";4;57,5;kg;6;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";1;16;kg;12;;;;0;"";;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";2;20;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";3;20;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";4;20;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Chest Fly";1;40;kg;15;;;;0;"";;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Chest Fly";2;50;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Chest Fly";3;50;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Chest Fly";4;50;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Bicep Curl (Dumbbell)";1;8;kg;12;;;;0;"";;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Bicep Curl (Dumbbell)";2;12;kg;7;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Bicep Curl (Dumbbell)";3;12;kg;6;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Bicep Curl (Dumbbell)";4;12;kg;5;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Preacher Curl (Barbell)";1;7;kg;12;;;;0;"";;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Preacher Curl (Barbell)";2;17;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Preacher Curl (Barbell)";3;17;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Preacher Curl (Barbell)";4;17;kg;8;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Hammer Curl (Cable)";1;25;kg;15;;;;0;"";;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Hammer Curl (Cable)";2;30;kg;12;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Hammer Curl (Cable)";3;30;kg;12;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Hammer Curl (Cable)";4;30;kg;12;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Sit Up";1;;;15;;;;0;"";;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Sit Up";2;;;15;;;;0;;;2m
2022-03-09 17:58:48;"Petto Bicipiti";"Sit Up";3;;;15;;;;0;;;2m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Pull Up (Assisted)";1;50;kg;10;;;;0;"";"Allenamento dorsali, tricipiti e addominali";1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Pull Up (Assisted)";2;50;kg;10;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Pull Up (Assisted)";3;50;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Pull Up (Assisted)";4;50;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Seated Row (Cable)";1;30;kg;20;;;;0;"";;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Seated Row (Cable)";2;50;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Seated Row (Cable)";3;50;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Seated Row (Cable)";4;50;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";1;30;kg;20;;;;0;"";;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";2;50;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";3;55;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";4;55;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";1;50;kg;15;;;;0;"";;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";2;40;kg;10;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";3;30;kg;8;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";4;35;kg;12;;;;0;;;1h 22m
2022-03-10 20:47:11;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";1;9;kg;12;;;;0;"";;1h 22m
